plugin,formid,editor_id,name,enchant_type,cast_type,target_type,charge_amount,effects,modding_use,validation
Skyrim.esm,Skyrim.esm:106FC9,dunEnchGauldurAmuletFragmentFolgunthurFortifyHealth,Fortify Health,Enchantment,ConstantEffect,Self,210,EnchFortifyHealthConstantSelf (Skyrim.esm:0493AA)|mag=30|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:106FCB,dunEnchGauldurAmuletFragmentGeirmundFortifyStamina,Fortify Stamina,Enchantment,ConstantEffect,Self,210,EnchFortifyStaminaConstantSelf (Skyrim.esm:049507)|mag=30|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:106FCA,dunEnchGauldurAmuletFragmentSaarthalFortifyMagicka,Fortify Magicka,Enchantment,ConstantEffect,Self,210,EnchFortifyMagickaConstantSelf (Skyrim.esm:049504)|mag=30|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0F5D31,dunEnchHagsEnd,Bloodthorn,Enchantment,FireAndForget,Touch,17,dunHagsEndSoulTrapFFContact (Skyrim.esm:0FB407)|mag=0|area=0|dur=3; dunHagsEndEnchAbsorbHealthFFContact (Skyrim.esm:0FB409)|mag=10|area=0|dur=0,combat enchantment reference,extracted
Skyrim.esm,Skyrim.esm:0F5D17,dunEnchTrollsBaneFireDamage,Fire Damage,Enchantment,FireAndForget,Touch,3,EnchTrollsbaneFireDamageFFContact (Skyrim.esm:0F5D15)|mag=15|area=0|dur=0,combat enchantment reference,extracted
Skyrim.esm,Skyrim.esm:05B465,dunEnchWeaponFrostmere01,Ice Terror,Enchantment,FireAndForget,Touch,29,EnchInfluenceConfDownFFContactLow (Skyrim.esm:05B451)|mag=5|area=0|dur=30; EnchFrostDamageFFContact (Skyrim.esm:04605B)|mag=5|area=0|dur=0,combat enchantment reference,extracted
Skyrim.esm,Skyrim.esm:0F5D25,dunEnchWeaponFrostmere02,Ice Terror,Enchantment,FireAndForget,Touch,47,EnchInfluenceConfDownFFContactLow (Skyrim.esm:05B451)|mag=7|area=0|dur=30; EnchFrostDamageFFContact (Skyrim.esm:04605B)|mag=10|area=0|dur=0,combat enchantment reference,extracted
Skyrim.esm,Skyrim.esm:0F5D27,dunEnchWeaponFrostmere03,Ice Terror,Enchantment,FireAndForget,Touch,71,EnchInfluenceConfDownFFContactLow (Skyrim.esm:05B451)|mag=10|area=0|dur=30; EnchFrostDamageFFContact (Skyrim.esm:04605B)|mag=15|area=0|dur=0,combat enchantment reference,extracted
Skyrim.esm,Skyrim.esm:0F5D28,dunEnchWeaponFrostmere04,Ice Terror,Enchantment,FireAndForget,Touch,90,EnchInfluenceConfDownFFContactLow (Skyrim.esm:05B451)|mag=12|area=0|dur=30; EnchFrostDamageFFContact (Skyrim.esm:04605B)|mag=20|area=0|dur=0,combat enchantment reference,extracted
Skyrim.esm,Skyrim.esm:0F5D29,dunEnchWeaponFrostmere05,Ice Terror,Enchantment,FireAndForget,Touch,122,EnchInfluenceConfDownFFContactLow (Skyrim.esm:05B451)|mag=16|area=0|dur=30; EnchFrostDamageFFContact (Skyrim.esm:04605B)|mag=25|area=0|dur=0,combat enchantment reference,extracted
Skyrim.esm,Skyrim.esm:105A02,dunEnchWeaponKatariahScimitar,Windshear Bash,Enchantment,FireAndForget,Touch,2,dunKatariahScimitarEffect (Skyrim.esm:105A01)|mag=0|area=0|dur=0,enchantment effect reference,extracted
Skyrim.esm,Skyrim.esm:0D397D,dunFrostflowAbyssBoonEnch,,Enchantment,FireAndForget,Touch,930,dunFrostflowAbyssBoonExplosionEffect (Skyrim.esm:10CB93)|mag=500|area=0|dur=0,enchantment effect reference,extracted
Skyrim.esm,Skyrim.esm:0B1E84,dunHalldirsCairnHalldirsStaffEnch,Charm,StaffEnchantment,FireAndForget,Aimed,288,InfluenceAggDownFFAimed (Skyrim.esm:04DEE7)|mag=25|area=0|dur=30,enchantment effect reference,extracted
Skyrim.esm,Skyrim.esm:105830,dunHaltedStreamtAxeENCH,Huntsman's Prowess,Enchantment,FireAndForget,Touch,16,dunHaltedStreamDamageFFContact (Skyrim.esm:105831)|mag=3|area=0|dur=0,combat enchantment reference,extracted
Skyrim.esm,Skyrim.esm:107E2E,dunHunterQstEnchAmulet,Kyne's Blessing,Enchantment,ConstantEffect,Self,30,dunHunterQSTAmuletEffect (Skyrim.esm:107E2F)|mag=0|area=0|dur=0; EnchFortifyArcheryConstantSelf (Skyrim.esm:07A0FE)|mag=5|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:10582D,dunLostValleyRedoubtAxeENCH,Briarheart Geis,Enchantment,FireAndForget,Touch,0,dunLostValleyDamageFFContact (Skyrim.esm:10582E)|mag=5|area=0|dur=0,combat enchantment reference,extracted
Skyrim.esm,Skyrim.esm:0E57F1,dunMarkarthWizard_StaffEnchSpiderControl,Spider Control,StaffEnchantment,FireAndForget,Aimed,1,dunMarkarthWizard_SpiderControlEffect (Skyrim.esm:0E57F4)|mag=0|area=0|dur=3600,enchantment effect reference,extracted
Skyrim.esm,Skyrim.esm:0C1A00,dunMarkarthWizard_StaffEnchSpiderControlFake,Spider Control,StaffEnchantment,FireAndForget,Aimed,1,dunMarkarthWizard_SpiderControlEffectFake (Skyrim.esm:0C1A01)|mag=0|area=0|dur=3600,enchantment effect reference,extracted
Skyrim.esm,Skyrim.esm:0A88CA,dunRannveigStaffEnchSummonGhost,Summon Ghost,StaffEnchantment,FireAndForget,TargetLocation,32,SummonFrostAtronach (Skyrim.esm:01CEAB)|mag=0|area=0|dur=10,enchantment effect reference,extracted
Skyrim.esm,Skyrim.esm:0E5F42,dunSaarthalEnchJyrikStaff,Increased Magicka Regen,StaffEnchantment,FireAndForget,Aimed,58,ShockDamageBoltStormAimed (Skyrim.esm:0E4CB6)|mag=25|area=0|dur=0,combat enchantment reference,extracted
Skyrim.esm,Skyrim.esm:03B0B2,dunSilentMoonsEnchWeapon01,Silent Moons Enchant,Enchantment,FireAndForget,Touch,5,dunSilentMoonsEnchFFContact (Skyrim.esm:03B0B1)|mag=10|area=0|dur=1,enchantment effect reference,extracted
Skyrim.esm,Skyrim.esm:03B0D0,dunSilentMoonsEnchWeapon02,Silent Moons Enchant,Enchantment,FireAndForget,Touch,7,dunSilentMoonsEnchFFContact (Skyrim.esm:03B0B1)|mag=15|area=0|dur=1,enchantment effect reference,extracted
Skyrim.esm,Skyrim.esm:03B0D1,dunSilentMoonsEnchWeapon03,Silent Moons Enchant,Enchantment,FireAndForget,Touch,10,dunSilentMoonsEnchFFContact (Skyrim.esm:03B0B1)|mag=20|area=0|dur=1,enchantment effect reference,extracted
Skyrim.esm,Skyrim.esm:0F5D26,dunStaffHalldirs,Halldir's Staff,StaffEnchantment,FireAndForget,Aimed,218,dunHalldirEnchSoulTrapFFAimedArea (Skyrim.esm:0FB404)|mag=0|area=15|dur=60; dunHalldirAggDownFFAimedArea (Skyrim.esm:0FB406)|mag=12|area=15|dur=60,enchantment effect reference,extracted
Skyrim.esm,Skyrim.esm:1019B0,dunVolunruudPickaxeEnch,Notched Pickaxe,Enchantment,FireAndForget,Touch,11,dunVolunruudPickaxeEffect (Skyrim.esm:1019D6)|mag=5|area=0|dur=0,enchantment effect reference,extracted
Skyrim.esm,Skyrim.esm:0F9903,EnchAllMagicSchoolsMinor,Scholastic Mastery,Enchantment,ConstantEffect,Self,145,EnchFortifyAlterationConstantSelf (Skyrim.esm:07A0F2)|mag=5|area=0|dur=0; EnchFortifyConjurationConstantSelf (Skyrim.esm:07A0F5)|mag=5|area=0|dur=0; EnchFortifyDestructionConstantSelf (Skyrim.esm:07A0F6)|mag=5|area=0|dur=0; EnchFortifyRestorationConstantSelf (Skyrim.esm:07A101)|mag=5|area=0|dur=0; EnchFortifyIllusionConstantSelf (Skyrim.esm:07A0FA)|mag=5|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0B7A30,EnchArchmageFortifyAll,Foritfy all magic skills,Enchantment,ConstantEffect,Self,310,EnchFortifyAlterationConstantSelf (Skyrim.esm:07A0F2)|mag=10|area=0|dur=0; EnchFortifyConjurationConstantSelf (Skyrim.esm:07A0F5)|mag=10|area=0|dur=0; EnchFortifyDestructionConstantSelf (Skyrim.esm:07A0F6)|mag=10|area=0|dur=0; EnchFortifyIllusionConstantSelf (Skyrim.esm:07A0FA)|mag=10|area=0|dur=0; EnchFortifyRestorationConstantSelf (Skyrim.esm:07A101)|mag=10|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0B7A34,EnchArchmageHoodAll,Fortify Magicka and Magic Resist,Enchantment,ConstantEffect,Self,369,EnchFortifyMagickaConstantSelf (Skyrim.esm:049504)|mag=50|area=0|dur=0; EnchResistMagicConstantSelf (Skyrim.esm:0B7A35)|mag=25|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0F6905,EnchArmorArticulation01,Articulation,Enchantment,ConstantEffect,Self,566,EnchFortifyArticulation (Skyrim.esm:0F6906)|mag=10|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0F6907,EnchArmorArticulation02,Articulation,Enchantment,ConstantEffect,Self,692,EnchFortifyArticulation (Skyrim.esm:0F6906)|mag=12|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0F6908,EnchArmorArticulation03,Articulation,Enchantment,ConstantEffect,Self,884,EnchFortifyArticulation (Skyrim.esm:0F6906)|mag=15|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0F6909,EnchArmorArticulation04,Articulation,Enchantment,ConstantEffect,Self,1015,EnchFortifyArticulation (Skyrim.esm:0F6906)|mag=17|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0F690A,EnchArmorArticulation05,Articulation,Enchantment,ConstantEffect,Self,1214,EnchFortifyArticulation (Skyrim.esm:0F6906)|mag=20|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0F690B,EnchArmorArticulation06,Articulation,Enchantment,ConstantEffect,Self,1348,EnchFortifyArticulation (Skyrim.esm:0F6906)|mag=22|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0F690C,EnchArmorArticulation07,Articulation,Enchantment,ConstantEffect,Self,1552,EnchFortifyArticulation (Skyrim.esm:0F6906)|mag=25|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:10FB6F,EnchArmorArticulationBase,Articulation,Enchantment,ConstantEffect,Self,206,EnchFortifyArticulation (Skyrim.esm:0F6906)|mag=4|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:08B65B,EnchArmorFortifyAlchemy01,Fortify Alchemy,Enchantment,ConstantEffect,Self,261,EnchFortifyAlchemyConstantSelf (Skyrim.esm:08B65C)|mag=12|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:08B65D,EnchArmorFortifyAlchemy02,Fortify Alchemy,Enchantment,ConstantEffect,Self,688,EnchFortifyAlchemyConstantSelf (Skyrim.esm:08B65C)|mag=15|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:08B65E,EnchArmorFortifyAlchemy03,Fortify Alchemy,Enchantment,ConstantEffect,Self,789,EnchFortifyAlchemyConstantSelf (Skyrim.esm:08B65C)|mag=17|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:08B65F,EnchArmorFortifyAlchemy04,Fortify Alchemy,Enchantment,ConstantEffect,Self,944,EnchFortifyAlchemyConstantSelf (Skyrim.esm:08B65C)|mag=20|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:08B660,EnchArmorFortifyAlchemy05,Fortify Alchemy,Enchantment,ConstantEffect,Self,1048,EnchFortifyAlchemyConstantSelf (Skyrim.esm:08B65C)|mag=22|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:08B661,EnchArmorFortifyAlchemy06,Fortify Alchemy,Enchantment,ConstantEffect,Self,1207,EnchFortifyAlchemyConstantSelf (Skyrim.esm:08B65C)|mag=25|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:10FB70,EnchArmorFortifyAlchemyBase,Fortify Alchemy,Enchantment,ConstantEffect,Self,167,EnchFortifyAlchemyConstantSelf (Skyrim.esm:08B65C)|mag=8|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:07A107,EnchArmorFortifyAlteration01,Fortify Alteration,Enchantment,ConstantEffect,Self,323,EnchFortifyAlterationConstantSelf (Skyrim.esm:07A0F2)|mag=12|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD49F,EnchArmorFortifyAlteration02,Fortify Alteration,Enchantment,ConstantEffect,Self,98,EnchFortifyAlterationConstantSelf (Skyrim.esm:07A0F2)|mag=15|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD4A0,EnchArmorFortifyAlteration03,Fortify Alteration,Enchantment,ConstantEffect,Self,112,EnchFortifyAlterationConstantSelf (Skyrim.esm:07A0F2)|mag=17|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0BE037,EnchArmorFortifyAlteration04,Fortify Alteration,Enchantment,ConstantEffect,Self,134,EnchFortifyAlterationConstantSelf (Skyrim.esm:07A0F2)|mag=20|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0BE038,EnchArmorFortifyAlteration05,Fortify Alteration,Enchantment,ConstantEffect,Self,149,EnchFortifyAlterationConstantSelf (Skyrim.esm:07A0F2)|mag=22|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0BE039,EnchArmorFortifyAlteration06,Fortify Alteration,Enchantment,ConstantEffect,Self,172,EnchFortifyAlterationConstantSelf (Skyrim.esm:07A0F2)|mag=25|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:10FB71,EnchArmorFortifyAlterationBase,Fortify Alteration,Enchantment,ConstantEffect,Self,206,EnchFortifyAlterationConstantSelf (Skyrim.esm:07A0F2)|mag=8|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:07A108,EnchArmorFortifyBlock01,Fortify Block,Enchantment,ConstantEffect,Self,275,EnchFortifyBlockConstantSelf (Skyrim.esm:07A0F3)|mag=15|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD4A1,EnchArmorFortifyBlock02,Fortify Block,Enchantment,ConstantEffect,Self,134,EnchFortifyBlockConstantSelf (Skyrim.esm:07A0F3)|mag=20|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD4A2,EnchArmorFortifyBlock03,Fortify Block,Enchantment,ConstantEffect,Self,172,EnchFortifyBlockConstantSelf (Skyrim.esm:07A0F3)|mag=25|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0BE034,EnchArmorFortifyBlock04,Fortify Block,Enchantment,ConstantEffect,Self,210,EnchFortifyBlockConstantSelf (Skyrim.esm:07A0F3)|mag=30|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0BE035,EnchArmorFortifyBlock05,Fortify Block,Enchantment,ConstantEffect,Self,249,EnchFortifyBlockConstantSelf (Skyrim.esm:07A0F3)|mag=35|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0BE036,EnchArmorFortifyBlock06,Fortify Block,Enchantment,ConstantEffect,Self,289,EnchFortifyBlockConstantSelf (Skyrim.esm:07A0F3)|mag=40|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:10FB72,EnchArmorFortifyBlockBase,Fortify Block,Enchantment,ConstantEffect,Self,235,EnchFortifyBlockConstantSelf (Skyrim.esm:07A0F3)|mag=13|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:07A109,EnchArmorFortifyCarry01,Fortify Carry Weight,Enchantment,ConstantEffect,Self,689,EnchFortifyCarryConstantSelf (Skyrim.esm:07A0F4)|mag=25|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD44C,EnchArmorFortifyCarry02,Fortify Carry Weight,Enchantment,ConstantEffect,Self,210,EnchFortifyCarryConstantSelf (Skyrim.esm:07A0F4)|mag=30|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD44D,EnchArmorFortifyCarry03,Fortify Carry Weight,Enchantment,ConstantEffect,Self,249,EnchFortifyCarryConstantSelf (Skyrim.esm:07A0F4)|mag=35|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD44E,EnchArmorFortifyCarry04,Fortify Carry Weight,Enchantment,ConstantEffect,Self,289,EnchFortifyCarryConstantSelf (Skyrim.esm:07A0F4)|mag=40|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD44F,EnchArmorFortifyCarry05,Fortify Carry Weight,Enchantment,ConstantEffect,Self,329,EnchFortifyCarryConstantSelf (Skyrim.esm:07A0F4)|mag=45|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD450,EnchArmorFortifyCarry06,Fortify Carry Weight,Enchantment,ConstantEffect,Self,369,EnchFortifyCarryConstantSelf (Skyrim.esm:07A0F4)|mag=50|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:10FB73,EnchArmorFortifyCarryBase,Fortify Carry Weight,Enchantment,ConstantEffect,Self,393,EnchFortifyCarryConstantSelf (Skyrim.esm:07A0F4)|mag=15|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:07A10A,EnchArmorFortifyConjuration01,Fortify Conjuration,Enchantment,ConstantEffect,Self,384,EnchFortifyConjurationConstantSelf (Skyrim.esm:07A0F5)|mag=12|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD453,EnchArmorFortifyConjuration02,Fortify Conjuration,Enchantment,ConstantEffect,Self,98,EnchFortifyConjurationConstantSelf (Skyrim.esm:07A0F5)|mag=15|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD454,EnchArmorFortifyConjuration03,Fortify Conjuration,Enchantment,ConstantEffect,Self,112,EnchFortifyConjurationConstantSelf (Skyrim.esm:07A0F5)|mag=17|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD455,EnchArmorFortifyConjuration04,Fortify Conjuration,Enchantment,ConstantEffect,Self,134,EnchFortifyConjurationConstantSelf (Skyrim.esm:07A0F5)|mag=20|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD456,EnchArmorFortifyConjuration05,Fortify Conjuration,Enchantment,ConstantEffect,Self,149,EnchFortifyConjurationConstantSelf (Skyrim.esm:07A0F5)|mag=22|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD457,EnchArmorFortifyConjuration06,Fortify Conjuration,Enchantment,ConstantEffect,Self,172,EnchFortifyConjurationConstantSelf (Skyrim.esm:07A0F5)|mag=25|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:10FB74,EnchArmorFortifyConjurationBase,Fortify Conjuration,Enchantment,ConstantEffect,Self,246,EnchFortifyConjurationConstantSelf (Skyrim.esm:07A0F5)|mag=8|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:07A10B,EnchArmorFortifyDestruction01,Fortify Destruction,Enchantment,ConstantEffect,Self,400,EnchFortifyDestructionConstantSelf (Skyrim.esm:07A0F6)|mag=12|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD458,EnchArmorFortifyDestruction02,Fortify Destruction,Enchantment,ConstantEffect,Self,98,EnchFortifyDestructionConstantSelf (Skyrim.esm:07A0F6)|mag=15|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD459,EnchArmorFortifyDestruction03,Fortify Destruction,Enchantment,ConstantEffect,Self,112,EnchFortifyDestructionConstantSelf (Skyrim.esm:07A0F6)|mag=17|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD45A,EnchArmorFortifyDestruction04,Fortify Destruction,Enchantment,ConstantEffect,Self,134,EnchFortifyDestructionConstantSelf (Skyrim.esm:07A0F6)|mag=20|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD45B,EnchArmorFortifyDestruction05,Fortify Destruction,Enchantment,ConstantEffect,Self,149,EnchFortifyDestructionConstantSelf (Skyrim.esm:07A0F6)|mag=22|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD45C,EnchArmorFortifyDestruction06,Fortify Destruction,Enchantment,ConstantEffect,Self,172,EnchFortifyDestructionConstantSelf (Skyrim.esm:07A0F6)|mag=25|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:10FB75,EnchArmorFortifyDestructionBase,Fortify Destruction,Enchantment,ConstantEffect,Self,256,EnchFortifyDestructionConstantSelf (Skyrim.esm:07A0F6)|mag=8|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:10CF26,EnchArmorFortifyHealRate01,Fortify Healing Rate,Enchantment,ConstantEffect,Self,251,EnchFortifyHealRateConstantSelf (Skyrim.esm:07A0F8)|mag=10|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD460,EnchArmorFortifyHealRate03,Fortify Healing Rate,Enchantment,ConstantEffect,Self,539,EnchFortifyHealRateConstantSelf (Skyrim.esm:07A0F8)|mag=20|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:07A10D,EnchArmorFortifyHealRate04,Fortify Healing Rate,Enchantment,ConstantEffect,Self,210,EnchFortifyHealRateConstantSelf (Skyrim.esm:07A0F8)|mag=30|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD45F,EnchArmorFortifyHealRate05,Fortify Healing Rate,Enchantment,ConstantEffect,Self,289,EnchFortifyHealRateConstantSelf (Skyrim.esm:07A0F8)|mag=40|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD493,EnchArmorFortifyHealRate06,Fortify Healing Rate,Enchantment,ConstantEffect,Self,369,EnchFortifyHealRateConstantSelf (Skyrim.esm:07A0F8)|mag=50|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:10FB76,EnchArmorFortifyHealRateBase,Fortify Healing Rate,Enchantment,ConstantEffect,Self,503,EnchFortifyHealRateConstantSelf (Skyrim.esm:07A0F8)|mag=10|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:049509,EnchArmorFortifyHealth01,Fortify Health,Enchantment,ConstantEffect,Self,202,EnchFortifyHealthConstantSelf (Skyrim.esm:0493AA)|mag=20|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD461,EnchArmorFortifyHealth02,Fortify Health,Enchantment,ConstantEffect,Self,210,EnchFortifyHealthConstantSelf (Skyrim.esm:0493AA)|mag=30|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD462,EnchArmorFortifyHealth03,Fortify Health,Enchantment,ConstantEffect,Self,867,EnchFortifyHealthConstantSelf (Skyrim.esm:0493AA)|mag=40|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0BDFFC,EnchArmorFortifyHealth04,Fortify Health,Enchantment,ConstantEffect,Self,369,EnchFortifyHealthConstantSelf (Skyrim.esm:0493AA)|mag=50|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0BDFFD,EnchArmorFortifyHealth05,Fortify Health,Enchantment,ConstantEffect,Self,451,EnchFortifyHealthConstantSelf (Skyrim.esm:0493AA)|mag=60|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0BDFFE,EnchArmorFortifyHealth06,Fortify Health,Enchantment,ConstantEffect,Self,535,EnchFortifyHealthConstantSelf (Skyrim.esm:0493AA)|mag=70|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:10FB77,EnchArmorFortifyHealthBase,Fortify Health,Enchantment,ConstantEffect,Self,202,EnchFortifyHealthConstantSelf (Skyrim.esm:0493AA)|mag=20|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:07A10E,EnchArmorFortifyHeavyArmor01,Fortify Heavy Armor,Enchantment,ConstantEffect,Self,246,EnchFortifyHeavyArmorConstantSelf (Skyrim.esm:07A0F9)|mag=12|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD463,EnchArmorFortifyHeavyArmor02,Fortify Heavy Armor,Enchantment,ConstantEffect,Self,314,EnchFortifyHeavyArmorConstantSelf (Skyrim.esm:07A0F9)|mag=15|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0AD464,EnchArmorFortifyHeavyArmor03,Fortify Heavy Armor,Enchantment,ConstantEffect,Self,361,EnchFortifyHeavyArmorConstantSelf (Skyrim.esm:07A0F9)|mag=17|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0BDFFF,EnchArmorFortifyHeavyArmor04,Fortify Heavy Armor,Enchantment,ConstantEffect,Self,431,EnchFortifyHeavyArmorConstantSelf (Skyrim.esm:07A0F9)|mag=20|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0BE000,EnchArmorFortifyHeavyArmor05,Fortify Heavy Armor,Enchantment,ConstantEffect,Self,479,EnchFortifyHeavyArmorConstantSelf (Skyrim.esm:07A0F9)|mag=22|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:0BE001,EnchArmorFortifyHeavyArmor06,Fortify Heavy Armor,Enchantment,ConstantEffect,Self,551,EnchFortifyHeavyArmorConstantSelf (Skyrim.esm:07A0F9)|mag=25|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
Skyrim.esm,Skyrim.esm:10FB78,EnchArmorFortifyHeavyArmorBase,Fortify Heavy Armor,Enchantment,ConstantEffect,Self,157,EnchFortifyHeavyArmorConstantSelf (Skyrim.esm:07A0F9)|mag=8|area=0|dur=0,reward magnitude/equipment-effect reference,extracted
